"campaignid","caab_code","number","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","zone","marine_region","observer_count","observer_length","level_1","level_2","level_3","family","genus","species","scientific"
"SCI3304-2025","63617901",15,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",12,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",14,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",1,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",5,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",10,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",0,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",15,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",1,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",19,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",0,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",8,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",1,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",9,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",4,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",0,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",1,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",5,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",14,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",6,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",4,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",7,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",11,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",3,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",5,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",7,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",2,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",6,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",2,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S14",-35.0725,117.90285,"2025-04-24T13:31:00+08:00","Sandy","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Evan Setiawan","Ephraim Chang","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",3,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",1,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",12,"S15",-35.0729,117.9050167,"2025-04-24T13:14:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Caelan McCuaig","Ephraim Chang","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",9,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",3,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S16",-35.0713,117.9047833,"2025-04-24T13:18:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Kayla Ferrera","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",3,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",6,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S17",-35.074,117.91255,"2025-04-24T11:21:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Darren Yap","Ephraim Chang","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",15,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S18",-35.0755,117.91245,"2025-04-24T11:11:00+08:00","Sandy","Prince Harbour","fished","2.2","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",13,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",2,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S19",-35.0736,117.9104833,"2025-04-24T11:08:00+08:00","Sandy","Prince Harbour","fished","2.1","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",11,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",1,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S2",-35.07,117.8931833,"2025-04-24T13:59:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Riho Takishima","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",17,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",2,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S20",-35.0773,117.9076333,"2025-04-24T10:52:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","James Wijaya","Caelan McCuaig","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",9,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",4,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S21",-35.0763,117.9083167,"2025-04-24T10:54:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","James Wijaya","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",4,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",5,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S22",-35.0741,117.9050833,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","2","Yes","No","NA","South-west","Darren Yap","NIL","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",13,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",4,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S23",-35.0761,117.90425,"2025-04-24T10:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Caelan McCuaig","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",16,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",1,"S24",-35.076,117.9028667,"2025-04-24T10:38:00+08:00","Sandy","Prince Harbour","fished","1.5","Yes","Yes","NA","South-west","Khai Siang Tan","James Wijaya","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",3,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",1,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S3",-35.0701,117.9068167,"2025-04-24T12:06:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Darren Yap","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",1,"S4",-35.07,117.909,"2025-04-24T12:04:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",6,"S4",-35.07,117.909,"2025-04-24T12:04:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S4",-35.07,117.909,"2025-04-24T12:04:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",5,"S5",-35.0706,117.9128,"2025-04-24T11:36:00+08:00","Sandy","Prince Harbour","fished","2.6","Yes","Yes","NA","South-west","Riho Takishima","Darren Yap","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",2,"S5",-35.0706,117.9128,"2025-04-24T11:36:00+08:00","Sandy","Prince Harbour","fished","2.6","Yes","Yes","NA","South-west","Riho Takishima","Darren Yap","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S5",-35.0706,117.9128,"2025-04-24T11:36:00+08:00","Sandy","Prince Harbour","fished","2.6","Yes","Yes","NA","South-west","Riho Takishima","Darren Yap","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",6,"S6",-35.0718,117.9136,"2025-04-24T11:34:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",7,"S6",-35.0718,117.9136,"2025-04-24T11:34:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"S6",-35.0718,117.9136,"2025-04-24T11:34:00+08:00","Sandy","Prince Harbour","fished","2.5","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
